"BATHRM","HF_BATHRM","HEAT","AC","ROOMS","BEDRM","AYB","EYB","STORIES","SALEDATE","PRICE","GBA","STYLE","GRADE","CNDTN","EXTWALL","ROOF","INTWALL","KITCHENS","FIREPLACES","LANDAREA","ZIPCODE","LATITUDE","LONGITUDE","ASSESSMENT_NBHD","WARD"
2,0,"Hot Water Rad","Y",5,3,1912,1969,2,"2004-12-16 00:00:00",602360,1544,"2 Story","Good Quality","Average","Common Brick","Clay Tile","Hardwood",1,0,999,20003,38.88933561,-76.98809039,"Old City 1","Ward 6"
1,0,"Warm Cool","Y",6,1,1890,1967,2,"2018-06-26 00:00:00",813760,1800,"2 Story","Above Average","Average","Stucco","Built Up","Hardwood",1,4,3290,20003,38.87856079,-76.98745337,"Old City 1","Ward 6"
1,1,"Hot Water Rad","Y",8,2,1905,1973,2,"2001-07-09 00:00:00",226920,1360,"2 Story","Average","Good","Stucco","Metal- Sms","Hardwood/Carp",1,1,1915,20003,38.88392159,-76.98131609,"Old City 1","Ward 6"
4,1,"Forced Air","Y",15,5,1922,1969,2,"2014-02-05 00:00:00",1004160,2523,"2 Story","Good Quality","Good","Common Brick","Comp Shingle","Hardwood/Carp",1,1,2720,20003,38.88952091,-76.98240284,"Old City 1","Ward 6"
2,1,"Warm Cool","Y",9,3,1900,1969,2,"1992-06-09 00:00:00",432440,1630,"2 Story","Superior","Average","Stucco","Comp Shingle","Hardwood",1,3,2961,20007,38.90700793,-77.05597061,"Georgetown","Ward 2"
2,1,"Forced Air","Y",5,2,1864,1979,2,"2000-04-07 00:00:00",577360,1088,"2 Story","Superior","Average","Common Brick","Metal- Sms","Hardwood",1,1,2745,20007,38.9075764,-77.05552084,"Georgetown","Ward 2"
4,1,"Warm Cool","Y",8,5,1900,2000,3,"2010-06-11 00:00:00",4605430,3854,"3 Story","Exceptional-B","Very Good","Common Brick","Metal- Sms","Hardwood",2,6,5825,20007,38.90948243,-77.05837593,"Georgetown","Ward 2"
2,1,"Hot Water Rad","Y",6,3,1902,1992,2,"2015-07-08 00:00:00",1647280,1568,"2 Story","Superior","Very Good","Common Brick","Metal- Sms","Hardwood",1,2,1232,20007,38.9089471,-77.06640934,"Georgetown","Ward 2"
4,1,"Warm Cool","Y",8,4,1958,1990,3,"2013-03-20 00:00:00",2231110,3322,"3 Story","Superior","Good","Common Brick","Slate","Hardwood",1,4,1782,20007,38.90940165,-77.06097316,"Georgetown","Ward 2"
6,2,"Hot Water Rad","Y",13,4,1820,2000,4,"2011-04-25 00:00:00",7757800,8305,"4 Story","Exceptional-B","Very Good","Common Brick","Metal- Sms","Hardwood",2,7,7968,20007,38.90898084,-77.06711141,"Georgetown","Ward 2"
2,2,"Warm Cool","Y",9,3,1900,1983,3,"2014-08-04 00:00:00",1640640,2510,"3 Story","Superior","Good","Common Brick","Slate","Hardwood",1,2,1385,20007,38.90963064,-77.06768436,"Georgetown","Ward 2"
4,1,"Warm Cool","Y",9,5,1870,1976,3,"2006-07-31 00:00:00",2846690,3204,"3 Story","Superior","Good","Wood Siding","Slate","Hardwood",1,3,7200,20007,38.91006302,-77.05944948,"Georgetown","Ward 2"
8,3,"Warm Cool","Y",18,9,1875,1991,3,"2018-01-17 00:00:00",6740470,6372,"3 Story","Exceptional-B","Very Good","Common Brick","Built Up","Hardwood",2,5,9467,20007,38.9094751,-77.06126804,"Georgetown","Ward 2"
3,0,"Hot Water Rad","Y",9,4,1900,1983,2,"2007-11-16 00:00:00",1333630,1900,"2 Story","Superior","Average","Hardboard","Metal- Sms","Hardwood",2,2,2158,20007,38.90641395,-77.06594236,"Georgetown","Ward 2"
4,1,"Warm Cool","Y",11,5,1900,1988,3,"2013-10-24 00:00:00",2439060,3224,"3 Story","Exceptional-A","Good","Common Brick","Metal- Sms","Hardwood",1,4,2700,20007,38.9078321,-77.06171535,"Georgetown","Ward 2"
3,0,"Warm Cool","Y",7,3,1900,1988,2.5,"2007-07-30 00:00:00",1619640,1596,"2.5 Story Fin","Excellent","Very Good","Brick/Siding","Metal- Sms","Hardwood",2,1,3600,20007,38.9083953,-77.07017922,"Georgetown","Ward 2"
2,1,"Warm Cool","Y",6,2,1900,1983,2,"2018-06-18 00:00:00",1255050,1360,"2 Story","Superior","Very Good","Common Brick","Metal- Cpr","Hardwood",1,1,804,20007,38.9085991,-77.06952547,"Georgetown","Ward 2"
5,1,"Warm Cool","Y",11,6,1794,1986,3,"2017-05-24 00:00:00",4991170,6258,"3 Story","Exceptional-C","Average","Common Brick","Built Up","Hardwood",1,4,7765,20007,38.90706321,-77.059858,"Georgetown","Ward 2"
2,1,"Warm Cool","Y",5,3,1900,1969,2,"2017-10-31 00:00:00",1085130,1528,"2 Story","Good Quality","Good","Common Brick","Comp Shingle","Hardwood",3,1,990,20007,38.91081585,-77.06863878,"Georgetown","Ward 2"
2,1,"Hot Water Rad","N",8,4,1900,1976,2,"2015-05-29 00:00:00",1498520,2212,"2 Story","Superior","Good","Common Brick","Metal- Sms","Hardwood",1,0,2514,20007,38.90898363,-77.06489092,"Georgetown","Ward 2"
2,0,"Warm Cool","Y",6,3,1900,1983,2,"2017-10-31 00:00:00",1183950,1382,"2 Story","Superior","Good","Common Brick","Metal- Sms","Hardwood",1,0,999,20007,38.90892759,-77.06570521,"Georgetown","Ward 2"
4,1,"Hot Water Rad","Y",11,7,1900,1995,3,"2017-06-21 00:00:00",4640750,4105,"3 Story","Superior","Very Good","Common Brick","Built Up","Hardwood",1,3,3327,20007,38.9069304,-77.06798352,"Georgetown","Ward 2"
2,1,"Warm Cool","Y",5,2,1900,1969,2,"1997-10-14 00:00:00",346290,1504,"2 Story","Superior","Average","Common Brick","Metal- Sms","Hardwood",1,1,1650,20007,38.90785281,-77.06927213,"Georgetown","Ward 2"
7,1,"Warm Cool","Y",12,8,1810,1996,2.25,"2013-07-11 00:00:00",8031350,8085,"2.5 Story Fin","Exceptional-A","Very Good","Common Brick","Slate","Hardwood",1,7,14346,20007,38.90810159,-77.06764221,"Georgetown","Ward 2"
4,1,"Warm Cool","Y",13,5,1900,1998,2.75,"2003-12-17 00:00:00",3362110,4468,"3 Story","Exceptional-A","Good","Common Brick","Slate","Hardwood",1,1,13683,20007,38.91027253,-77.06243243,"Georgetown","Ward 2"
2,1,"Warm Cool","Y",7,3,1900,1983,2,"2012-02-23 00:00:00",1391890,1923,"2 Story","Superior","Good","Common Brick","Metal- Sms","Hardwood",1,1,3652,20007,38.90961292,-77.05493648,"Georgetown","Ward 2"
2,0,"Hot Water Rad","Y",5,2,1900,1983,3,"2012-06-26 00:00:00",1158280,1710,"3 Story","Superior","Average","Aluminum","Comp Shingle","Hardwood",1,4,1219,20007,38.90699542,-77.05613997,"Georgetown","Ward 2"
4,2,"Warm Cool","Y",10,6,1900,1976,3,"2018-05-23 00:00:00",2979540,3879,"3 Story","Superior","Average","Common Brick","Metal- Sms","Hardwood",1,4,4764,20007,38.90657982,-77.0673191,"Georgetown","Ward 2"
6,1,"Warm Cool","Y",15,6,1900,1988,2,"2008-09-05 00:00:00",4456200,5482,"2 Story","Exceptional-A","Good","Common Brick","Built Up","Hardwood",1,5,7380,20007,38.90754234,-77.05666038,"Georgetown","Ward 2"
6,1,"Warm Cool","Y",14,9,1900,1998,2.7,"2002-01-10 00:00:00",4106280,4386,"3 Story","Exceptional-D","Excellent","Wood Siding","Metal- Cpr","Hardwood",1,4,9556,20007,38.90861541,-77.06147195,"Georgetown","Ward 2"
2,1,"Warm Cool","Y",6,3,1900,1983,2,"2008-03-11 00:00:00",1452660,1962,"2 Story","Superior","Good","Common Brick","Metal- Sms","Hardwood",1,2,2135,20007,38.90917216,-77.06807571,"Georgetown","Ward 2"
6,0,"Warm Cool","Y",11,4,1900,1998,2,"2014-02-26 00:00:00",5113070,3606,"2 Story","Exceptional-A","Very Good","Common Brick","Metal- Sms","Hardwood",2,3,4997,20007,38.90662757,-77.06158783,"Georgetown","Ward 2"
5,1,"Warm Cool","Y",13,6,1964,1999,3,"2017-04-10 00:00:00",4709810,4293,"3 Story","Exceptional-B","Very Good","Common Brick","Comp Shingle","Hardwood",1,2,4680,20007,38.91007601,-77.05797667,"Georgetown","Ward 2"
3,1,"Forced Air","Y",11,4,1820,1986,3,"2015-06-04 00:00:00",1781350,3279,"3 Story","Good Quality","Good","Brick/Siding","Metal- Sms","Hardwood",1,0,2400,20007,38.91496104,-77.06955058,"Burleith","Ward 2"
4,2,"Warm Cool","Y",8,5,1900,1996,3,"2016-08-25 00:00:00",3280910,2925,"3 Story","Exceptional-A","Very Good","Common Brick","Metal- Sms","Hardwood",1,4,3000,20007,38.9128944,-77.06901679,"Georgetown","Ward 2"
6,5,"Warm Cool","Y",17,9,1801,1986,2.5,"2011-07-25 00:00:00",5895170,10110,"2.5 Story Fin","Exceptional-C","Good","Common Brick","Slate","Hardwood",2,4,155905,20007,38.91167034,-77.05661177,"Georgetown","Ward 2"
3,2,"Warm Cool","Y",11,4,1972,2006,3,"2017-06-28 00:00:00",3349210,3750,"3 Story","Exceptional-B","Very Good","Common Brick","Metal- Sms","Hardwood",1,1,2400,20007,38.908356,-77.05660118,"Georgetown","Ward 2"
4,0,"Warm Cool","Y",9,4,1900,1983,4,"2000-01-05 00:00:00",1053600,3662,"4 Story","Exceptional-A","Good","Common Brick","Metal- Sms","Hardwood",1,1,2338,20007,38.90915146,-77.06121011,"Georgetown","Ward 2"
6,2,"Warm Cool","Y",13,6,1816,2000,3,"2007-12-27 00:00:00",7921380,6578,"3 Story","Exceptional-C","Very Good","Common Brick","Metal- Sms","Hardwood",1,4,11772,20007,38.90871398,-77.05987484,"Georgetown","Ward 2"
1,2,"Hot Water Rad","N",5,1,1900,1974,2,"1992-05-27 00:00:00",364450,1592,"2 Story","Superior","Average","Common Brick","Metal- Sms","Hardwood",1,1,2016,20007,38.91227442,-77.06481228,"Georgetown","Ward 2"
1,0,"Warm Cool","Y",3,1,1900,1969,1,"2011-09-13 00:00:00",502670,480,"1 Story","Good Quality","Average","Common Brick","Metal- Sms","Hardwood",1,1,1040,20007,38.91212692,-77.06438715,"Georgetown","Ward 2"
1,0,"Warm Cool","Y",6,3,1895,1950,2,"2002-12-12 00:00:00",521720,1992,"2 Story","Good Quality","Average","Wood Siding","Metal- Sms","Hardwood",1,1,3503,20007,38.92159024,-77.07385975,"Glover Park","Ward 3"
1,0,"Hot Water Rad","Y",9,3,1912,1950,2,"2004-12-27 00:00:00",708880,1724,"2 Story","Good Quality","Average","Common Brick","Metal- Sms","Hardwood",1,0,3963,20007,38.92056979,-77.07327577,"Glover Park","Ward 3"
4,2,"Warm Cool","Y",9,5,1948,1983,2.5,"2007-03-27 00:00:00",2473660,2600,"2.5 Story Fin","Superior","Average","Common Brick","Slate","Hardwood",1,1,8417,20007,38.91185299,-77.06151694,"Georgetown","Ward 2"
4,1,"Warm Cool","Y",10,5,1901,1995,2.25,"2006-12-18 00:00:00",2951620,3440,"2.5 Story Unfin","Superior","Good","Common Brick","Metal- Sms","Hardwood",1,3,5672,20007,38.91219643,-77.05952459,"Georgetown","Ward 2"
2,1,"Hot Water Rad","Y",7,2,1865,1976,2,"2010-11-22 00:00:00",1645440,2094,"2 Story","Superior","Good","Common Brick","Metal- Sms","Hardwood",1,2,3900,20007,38.9086511,-77.05864066,"Georgetown","Ward 2"
3,1,"Warm Cool","Y",7,3,1962,1996,3,"2004-06-25 00:00:00",1622270,2915,"3 Story","Exceptional-A","Average","Common Brick","Metal- Sms","Hardwood",1,3,2582,20007,38.91171833,-77.06416505,"Georgetown","Ward 2"
4,1,"Warm Cool","Y",8,3,1900,1983,2,"2015-06-05 00:00:00",2294920,2078,"2 Story","Superior","Very Good","Wood Siding","Metal- Sms","Hardwood",1,2,2812,20007,38.91287621,-77.06393388,"Georgetown","Ward 2"
4,2,"Hot Water Rad","N",13,5,1900,1976,3,"1998-07-01 00:00:00",995210,5280,"3 Story","Superior","Average","Common Brick","Built Up","Hardwood",1,2,7200,20007,38.90780663,-77.06098067,"Georgetown","Ward 2"
5,1,"Warm Cool","Y",10,6,1875,1988,3,"2000-10-30 00:00:00",1777540,4354,"3 Story","Exceptional-A","Good","Common Brick","Metal- Sms","Hardwood",1,8,4224,20007,38.91244383,-77.06255874,"Georgetown","Ward 2"
5,1,"Warm Cool","Y",8,4,1980,2003,2.5,"2015-08-03 00:00:00",3790300,2736,"2.5 Story Unfin","Exceptional-A","Very Good","Common Brick","Slate","Hardwood",1,3,3765,20007,38.91106209,-77.06196512,"Georgetown","Ward 2"
2,1,"Warm Cool","Y",8,3,1900,1972,2,"2015-08-20 00:00:00",1772750,2294,"2 Story","Very Good","Good","Hardboard","Comp Shingle","Hardwood",1,3,2806,20007,38.90889066,-77.05731149,"Georgetown","Ward 2"
1,0,"Warm Cool","Y",4,1,1900,1970,2,"2009-09-15 00:00:00",530460,784,"2 Story","Excellent","Average","Common Brick","Metal- Sms","Hardwood",1,1,738,20007,38.90890799,-77.05613225,"Georgetown","Ward 2"
5,1,"Warm Cool","Y",9,6,1900,1996,2.5,"2011-12-01 00:00:00",4263030,3742,"2.5 Story Fin","Exceptional-A","Very Good","Common Brick","Slate","Hardwood",1,3,6344,20007,38.91290114,-77.06331449,"Georgetown","Ward 2"
2,1,"Hot Water Rad","Y",6,2,1840,1970,2,"2014-06-24 00:00:00",1257070,1689,"2 Story","Excellent","Average","Wood Siding","Metal- Sms","Hardwood",1,1,3471,20007,38.91231995,-77.06898694,"Georgetown","Ward 2"
5,1,"Warm Cool","Y",14,4,1945,1984,2,"2006-09-25 00:00:00",3189760,4440,"2 Story","Superior","Good","Common Brick","Built Up","Hardwood",2,2,5553,20007,38.90657635,-77.0561401,"Georgetown","Ward 2"
3,1,"Warm Cool","Y",7,3,1900,1988,2.5,"2001-06-29 00:00:00",1277480,3280,"2.5 Story Fin","Exceptional-A","Very Good","Common Brick","Slate","Hardwood",1,2,1960,20007,38.91203627,-77.05950071,"Georgetown","Ward 2"
2,0,"Warm Cool","Y",8,3,1941,1963,2,"2006-02-17 00:00:00",724910,1300,"2 Story","Very Good","Average","Common Brick","Comp Shingle","Hardwood",1,1,3879,20007,38.90837301,-77.0890148,"Palisades","Ward 3"
3,0,"Warm Cool","Y",6,3,1941,1972,2,"2016-09-13 00:00:00",852260,1300,"2 Story","Very Good","Average","Common Brick","Comp Shingle","Hardwood",1,1,3561,20007,38.90850979,-77.08920394,"Palisades","Ward 3"
2,0,"Warm Cool","Y",8,3,1941,1970,2,"2016-06-03 00:00:00",879320,1436,"2 Story","Very Good","Good","Common Brick","Comp Shingle","Hardwood",1,1,3402,20007,38.90857908,-77.08929984,"Palisades","Ward 3"
2,1,"Warm Cool","Y",7,4,1942,1972,2,"2012-04-17 00:00:00",767260,1476,"2 Story","Very Good","Good","Vinyl Siding","Comp Shingle","Hardwood",1,1,3402,20007,38.90883904,-77.08897779,"Palisades","Ward 3"
2,2,"Warm Cool","Y",7,3,1955,1977,2,"2016-08-04 00:00:00",839610,1469,"2 Story","Good Quality","Average","Brick/Siding","Comp Shingle","Hardwood",2,1,3418,20007,38.90878159,-77.08811323,"Palisades","Ward 3"
4,0,"Warm Cool","Y",9,4,1960,1980,2,"2011-09-28 00:00:00",947590,1901,"2 Story","Good Quality","Average","Common Brick","Comp Shingle","Hardwood",2,2,5000,20007,38.90920953,-77.08900051,"Palisades","Ward 3"
2,1,"Forced Air","Y",9,4,1910,1978,2,"2009-06-02 00:00:00",1114330,2300,"2 Story","Excellent","Average","Wood Siding","Comp Shingle","Hardwood",1,2,5647,20007,38.90859697,-77.08768779,"Palisades","Ward 3"
